tottrees,Latitude,Longitude,MAP,MAT
350,-28.54082,20.06747,162,20.2
540,-28.54493,19.99898,156,20.2
1,-28.54565,21.20367,177,19.4
1,-28.5486,17.82843,79,19.6
92,-28.55019,20.10947,153,20.3
19,-28.55178,18.38068,116,19.3
339,-28.55217,18.80065,114,20
225,-28.56024,20.07197,169,20.1
16,-28.5606,20.14465,147,20.5
219,-28.56227,20.03432,167,20.1
208,-28.57254,20.11256,156,20.3
351,-28.57367,19.97455,164,20.1
3,-28.57458,20.23464,150,20.4
21,-28.57789,20.26869,144,20.5
20,-28.57812,20.00875,168,20
1,-28.57817,19.19613,120,20.1
254,-28.57981,20.15602,146,20.5
146,-28.58013,20.19394,147,20.5
20,-28.5814,17.79539,82,19.2
28,-28.58172,21.20653,180,19.4
3,-28.58341,17.4821,59,19
850,-28.58495,20.05699,173,20
80,-28.58773,19.92982,168,19.9
125,-28.58863,18.82824,121,19.8
18,-28.59388,20.3379,139,20.6
642,-28.59472,20.1528,155,20.3
23,-28.59518,19.2406,118,20.2
70,-28.59845,20.29672,141,20.5
963,-28.60831,19.88722,160,20.1
135,-28.61217,20.19538,160,20.2
33,-28.61425,17.76229,84,18.9
41,-28.61441,20.24322,161,20.1
324,-28.61744,21.23582,188,19.2
55,-28.62114,18.85903,128,19.4
29,-28.62449,17.49682,63,18.8
43,-28.6279,19.27309,113,20.4
1,-28.63307,21.06591,171,19.5
4,-28.63679,17.72087,73,19.3
624,-28.64288,19.85707,167,19.9
469,-28.64768,21.27088,195,19.1
1,-28.65053,20.36508,140,20.5
4,-28.65859,21.02605,172,19.5
932,-28.65868,18.88365,123,19.6
229,-28.6641,19.28936,105,20.8
13,-28.66448,17.51726,59,19.1
22,-28.684,17.55973,57,19.4
30,-28.6857,19.8527,172,19.8
8,-28.68852,21.2947,194,19.1
402,-28.68875,20.988,164,19.6
4,-28.69212,17.65231,60,19.7
571,-28.69245,18.91156,127,19.6
5,-28.69564,17.6045,54,19.8
89,-28.70391,19.30016,82,21.8
99,-28.70445,17.54227,53,19.5
1,-28.70446,20.91093,155,19.8
100,-28.71067,18.31586,93,20.8
134,-28.71193,20.98099,157,19.8
28,-28.71602,18.31095,94,20.7
271,-28.7187,18.94858,123,19.7
141,-28.72877,19.85072,169,19.8
730,-28.7377,20.68725,147,20
559,-28.73796,20.73397,153,19.8
20,-28.74215,19.17463,99,20.8
592,-28.74264,20.8253,144,20
128,-28.7435,18.28495,88,21.2
158,-28.74389,18.98705,125,19.7
2,-28.74538,19.30186,77,21.9
144,-28.74556,19.03468,125,19.8
182,-28.74699,19.1274,118,20
820,-28.75052,20.99116,160,19.7
157,-28.75235,20.65167,136,20.3
61,-28.75296,18.33786,88,21.5
452,-28.75495,19.08287,133,19.6
2748,-28.75607,20.77918,141,20.1
87,-28.76339,19.82623,171,19.7
129,-28.7681,20.61584,134,20.3
1,-28.77061,21.31631,195,19.1
69,-28.77806,18.37022,80,22
66,-28.77938,18.26634,82,21.8
1,-28.785,19.32284,101,20.9
17,-28.78512,20.48381,160,19.9
1433,-28.78777,21.01686,171,19.5
116,-28.78827,19.37432,94,21.2
57,-28.78896,19.32518,102,20.9
36,-28.79248,19.79065,173,19.6
183,-28.80186,18.39637,79,22.1
54,-28.80928,20.44204,173,19.6
11130,-28.81104,19.41488,114,20.6
282,-28.81152,18.44069,91,21.4
32,-28.81194,18.2586,81,21.8
19,-28.81892,18.38987,74,22.6
